Project,Start,Duration,Rig
Project1,1/1/2014,186,1
Project2,4/1/2014,215,2
Project3,7/6/2014,126,1
Project4,11/2/2014,129,2
Project5,11/9/2014,153,1
Project6,5/11/2015,127,1
Project7,9/15/2015,121,1
Project8,1/14/2016,86,1
Project9,2/7/2016,20,2
Project10,2/27/2016,20,2
Project11,11/30/2016,108,1
Project12,3/17/2017,114,1
Project13,7/10/2017,92,1
Project14,10/10/2017,151,1
Project15,11/17/2017,20,2
Project16,12/6/2017,20,2
Project17,3/10/2018,65,1
Project18,1/1/2019,53,1
Project19,2/2/2019,20,2
Project20,2/21/2019,20,2
Project21,2/23/2019,45,1
Project22,3/13/2019,20,2
Project23,4/1/2019,20,2
Project24,4/9/2019,91,1
Project25,7/9/2019,46,1
Project26,8/24/2019,27,1
Project27,9/20/2019,33,1
Project28,10/23/2019,28,1
Project29,11/20/2019,136,1
Project30,4/4/2020,124,1
Project31,6/30/2020,20,2
Project32,7/19/2020,20,2
Project33,1/1/2021,30,1
Project34,1/31/2021,127,1
Project35,6/7/2021,128,1
Project36,10/13/2021,45,1
Project37,11/27/2021,76,1
Project38,2/11/2022,13,1
Project39,2/24/2022,32,1
Project40,3/15/2022,20,2
Project41,3/28/2022,90,1
Project42,4/4/2022,20,2
Project43,6/26/2022,63,1
Project44,8/28/2022,112,1
Project45,12/18/2022,33,1
Project46,1/20/2023,104,1
Project47,7/17/2023,20,2
Project48,8/6/2023,20,2
Project49,8/25/2023,20,2
Project50,9/14/2023,20,2
Project51,10/3/2023,20,2
Project52,1/1/2024,21,1
Project53,1/22/2024,35,1
Project54,2/26/2024,31,1
Project55,3/28/2024,33,1
Project56,4/30/2024,98,1
Project57,6/1/2024,20,2
Project58,6/20/2024,20,2
Project59,8/6/2024,28,1
Project60,9/3/2024,64,1
Project61,11/6/2024,26,1
Project62,12/2/2024,37,1
Project63,1/8/2025,36,1
Project64,2/13/2025,21,1
Project65,3/6/2025,102,1
Project66,6/16/2025,37,1
Project67,7/23/2025,11,1
Project68,8/3/2025,27,1
Project69,8/30/2025,21,1
Project70,9/20/2025,24,1
Project71,10/14/2025,31,1
Project72,11/14/2025,97,1
Project73,1/1/2026,20,2
Project74,1/20/2026,20,2
Project75,2/9/2026,20,2
Project76,2/19/2026,97,1
Project77,2/28/2026,20,2
Project78,3/20/2026,20,2
Project79,4/8/2026,20,2
Project80,5/27/2026,92,1
Project81,8/27/2026,98,1
Project82,12/3/2026,16,1
Project83,10/1/2027,35,1
Project84,11/4/2027,43,1
Project85,12/17/2027,14,1
Project86,12/31/2027,30,1
Project87,1/1/2028,20,2
Project88,1/20/2028,20,2
Project89,1/30/2028,87,1
Project90,2/9/2028,20,2
Project91,2/28/2028,20,2
Project92,3/19/2028,20,2
Project93,4/7/2028,20,2
Project94,4/26/2028,33,1
Project95,5/29/2028,56,1
Project96,7/24/2028,103,1
Project97,11/4/2028,96,1
Project98,2/8/2029,24,1
Project99,3/4/2029,62,1
Project100,5/5/2029,40,1
Project101,6/14/2029,11,1
Project102,6/25/2029,82,1
Project103,9/15/2029,70,1
Project104,9/27/2029,20,2
Project105,10/16/2029,20,2
Project106,11/5/2029,20,2
Project107,11/24/2029,31,1
Project108,11/24/2029,20,2
Project109,12/25/2029,72,1
Project110,3/7/2030,136,1
Project111,7/21/2030,32,1
Project112,8/22/2030,26,1
Project113,9/5/2030,20,2
Project114,9/17/2030,93,1
Project115,9/24/2030,20,2
Project116,10/14/2030,20,2
Project117,12/19/2030,40,1
Project118,6/1/2031,47,1
Project119,7/18/2031,71,1
Project120,9/27/2031,36,1
Project121,10/4/2031,20,2
Project122,10/23/2031,20,2
Project123,11/2/2031,33,1
Project124,11/12/2031,20,2
Project125,12/5/2031,64,1
Project126,2/7/2032,72,1
Project127,4/19/2032,119,1
Project128,8/16/2032,13,1
Project129,8/29/2032,58,1
Project130,10/26/2032,142,1
Project131,3/17/2033,115,1
Project132,7/10/2033,99,1
Project133,9/9/2033,20,2
Project134,9/29/2033,20,2
Project135,10/17/2033,119,1
Project136,2/13/2034,55,1
Project137,4/9/2034,34,1
Project138,5/13/2034,30,1
Project139,6/12/2034,107,1
Project140,9/27/2034,29,1
Project141,10/26/2034,49,1
Project142,12/14/2034,22,1
Project143,1/1/2035,138,2
Project144,1/5/2035,73,1
Project145,3/19/2035,159,1
Project146,5/19/2035,137,2
Project147,8/25/2035,42,1
Project148,10/3/2035,20,2
Project149,10/6/2035,46,1
Project150,10/22/2035,20,2
Project151,11/11/2035,20,2
Project152,11/21/2035,33,1
Project153,11/30/2035,20,2
Project154,12/20/2035,20,2
Project155,12/24/2035,30,1
Project156,1/8/2036,20,2
Project157,1/23/2036,179,1
Project158,1/28/2036,20,2
Project159,2/16/2036,20,2
Project160,3/7/2036,20,2
Project161,3/26/2036,20,2
Project162,4/15/2036,20,2
Project163,7/20/2036,183,1
Project164,1/19/2037,29,1
Project165,2/17/2037,24,1
Project166,3/13/2037,60,1
Project167,4/4/2037,20,2
Project168,4/23/2037,20,2
Project169,5/12/2037,51,1
Project170,5/13/2037,20,2
Project171,6/1/2037,160,2
Project172,7/2/2037,185,1
